Participant,T1,T2,T3,T4,T5,T6
user21,1.577382,1.856745,1.587519,1.010778,3.204072,1.029322
,2.695048,0.701323,0.9681246,2.132214,3.53114,2.44167
,1.866492,4.74153,0.533173,2.146239,1.643371,1.735851
,1.543466,2.43223,1.700577,0.9121087,0.8227708,1.232852
,1.0665,1.134017,1.398266,2.580523,3.676815,1.277843
,1.467427,1.176481,7.608756,1.422399,3.065266,1.044143
,0.7982467,2.365992,1.099189,1.633839,1.710513,0.8885033
,1.166389,6.286595,1.399292,2.499295,0.677546,9.501747
,0.6555378,1.132824,7.986152,2.333396,1.276855,0.2452495
,0.4165912,3.909856,0.9545779,1.366292,0.8447243,13.66141
,0.5271056,0.5993488,6.7098,2.065268,0.955482,16.94986
,0.7674104,1.022629,1.566347,2.233083,0.7441348,2.021175
,5.942065,,1.232854,1.511536,0.4878696,1.556056
,0.9998233,,6.231891,1.511884,5.365786,1.066441
,0.9661314,,0.8343083,1.543537,4.120929,
,1.464962,,1.466335,1.409335,0.766741,
,3.943047,,4.465959,1.409979,0.6886623,
,0.765885,,1.832626,1.377885,1.07798,
,4.099698,,2.464988,0.776841,0.5329091,
,0.856616,,0.8432574,3.576815,0.5890426,
,0.7997925,,1.3668,1.133352,0.8992204,
,0.8432467,,,0.7551926,19.0172,
,0.7774484,,,1.688585,1.952872,
,0.73286,,,1.276047,1.066103,
,0.6659495,,,1.49861,0.7005095,
,1.634067,,,1.301021,5.520249,
,1.699892,,,1.210989,2.943912,
,0.7661744,,,1.787724,0.8105066,
,0.7995009,,,1.911569,9.39592,
,1.36523,,,1.533726,2.378002,
,1.566934,,,1.476218,2.110295,
,0.7999735,,,1.444093,0.7999329,
,1.377149,,,1.655696,0.9116755,
,0.8666189,,,,1.587717,
,0.8983994,,,,0.3659938,
,6.975523,,,,1.366454,
,0.7561475,,,,1.021745,
,0.7335495,,,,22.66022,
,,,,,0.9110494,
,,,,,2.422745,
