Participant,T1,T2,T3,T4,T5,T6
user2,6.810339,0.9990478,0.8404875,0.7210833,0.8307036,0.8965949
,12.0172,2.44802,2.364784,0.7221821,1.10225,0.8845387
,3.143721,1.791232,1.499952,1.387664,1.002033,1.233087
,2.633003,3.158956,0.84447,2.286794,0.6884269,1.255655
,11.43877,6.110477,6.63075,0.9224156,0.9992806,1.145444
,1.466879,0.599704,0.5661178,2.555452,0.7680556,1.534313
,3.332341,1.36637,11.24222,1.310715,0.9886057,1.26604
,0.7333646,1.265797,1.03328,1.321512,1.098699,1.522272
,0.7993188,1.033182,1.832861,1.244103,0.8775249,3.377453
,0.5329629,9.641746,,1.211047,0.6998927,1.842802
,0.6111504,2.366287,,1.565959,0.8332945,1.988528
,0.6223041,0.6328309,,1.332614,1.033784,1.711979
,0.9763544,0.8435966,,0.9776766,1.010719,1.098301
,,1.476336,,1.099225,0.9873292,1.276834
,,0.767794,,1.177012,0.7008017,1.200356
,,1.267463,,1.133898,0.8328762,1.189053
,,2.198336,,1.056032,1.432936,1.643864
,,0.9665053,,1.066532,0.7887827,2.033074
,,4.299006,,1.344532,0.6443439,1.488867
,,0.666094,,1.221737,0.987943,0.8109664
,,2.733167,,1.010394,0.6104038,1.099204
,,6.132745,,1.066505,0.8193554,1.354117
,,1.599273,,1.276729,0.8477079,1.266429
,,1.299472,,1.45521,0.7997637,2.54392
,,2.032781,,1.266834,0.7658533,6.964477
,,,,1.432431,0.7334326,3.209661
,,,,1.810736,1.332824,1.067189
,,,,1.444388,1.043823,11.34095
,,,,2.510355,0.8447433,
,,,,2.68742,0.8449687,
,,,,1.222143,0.9323714,
,,,,0.1991278,0.8777635,
,,,,1.31108,1.077808,
,,,,1.122213,0.733079,
,,,,1.06566,,
,,,,1.287813,,
,,,,1.144234,,
,,,,1.222682,,
,,,,1.654835,,
,,,,1.265666,,
,,,,1.055956,,
,,,,1.033404,,
,,,,1.233134,,
,,,,1.599524,,
,,,,1.321845,,
