Participant,T1,T2,T3,T4,T5,T6
user13,1.230814,1.839951,3.041656,0.9104958,0.987421,1.592597
,1.910738,4.153213,3.32198,2.176333,1.832479,2.588893
,1.167039,1.766798,8.721183,3.164811,1.842786,1.745231
,1.679873,8.632253,2.531954,1.288188,1.720967,1.690355
,,0.9328772,0.8341779,1.387769,1.533897,3.709506
,,6.330595,1.742741,13.86291,1.288854,5.809282
,,5.741983,1.176973,0.9223129,1.176929,3.99878
,,6.742307,6.008737,15.58446,1.210412,6.043611
,,2.998935,,1.065723,1.177607,1.666824
,,0.5662193,,1.244184,1.322744,0.9322127
,,2.133171,,1.266712,1.611763,7.886064
,,1.200424,,0.8776706,2.09938,1.022587
,,2.09916,,1.098997,1.89835,8.164435
,,0.8328637,,1.232244,1.588976,1.93145
,,1.033638,,2.843158,2.033248,1.799695
,,3.899339,,0.9227276,0.8552743,1.999185
,,0.7997229,,0.7105243,2.077158,2.198412
,,4.232178,,1.089752,0.5990172,2.076766
,,,,0.7995576,0.9988573,
,,,,1.544909,1.2329,
,,,,0.9767203,1.402339,
,,,,1.078132,0.7891526,
,,,,0.711778,0.5440226,
,,,,0.9919791,1.696032,
,,,,0.9442954,0.9551234,
,,,,,0.866898,
,,,,,1.111082,
,,,,,0.8654825,
,,,,,0.9778561,
,,,,,0.9331065,
,,,,,1.533001,
,,,,,1.78827,
,,,,,0.6662941,
,,,,,1.943126,
,,,,,0.1660689,
,,,,,0.522672,
,,,,,1.889918,
,,,,,1.078143,
,,,,,0.8986107,
,,,,,1.343907,
,,,,,1.300176,
,,,,,0.9113679,
,,,,,0.8663233,
,,,,,0.8546712,
,,,,,1.055771,
,,,,,0.8108462,
,,,,,0.6894651,
