Participant,T1,T2,T3,T4,T5,T6
user5,1.354744,0.8532328,7.560179,1.010084,4.053786,1.664696
,0.5324996,1.627216,1.233788,2.843402,1.900135,3.320162
,0.433078,1.322205,1.500014,2.444049,6.080403,2.188137
,2.743517,1.035206,2.578806,1.454888,4.475536,13.88509
,0.9329352,1.002758,4.232205,1.388318,0.7885336,18.31725
,0.9101692,0.5996362,5.098786,1.18867,6.019891,1.665378
,0.79976,4.244073,22.49342,1.76553,1.489261,1.111019
,0.688498,0.8999726,0.7990224,1.344983,1.588675,0.7327064
,0.5439783,1.099684,0.7563674,2.842578,2.065904,1.911056
,0.9676046,12.57499,2.066264,7.452491,1.266743,1.644634
,1.332299,0.6997546,1.599566,2.266985,0.9102484,1.443695
,4.743002,8.330411,0.5107958,1.921321,1.421139,2.321031
,2.268581,2.977087,1.921325,0.7328372,1.655731,1.766217
,0.8330966,0.5998407,0.5115488,0.9776286,1.544418,1.143959
,0.7969096,4.843717,,1.855594,1.144328,1.022272
,0.6997113,0.8663822,,2.044311,0.5890291,2.300225
,0.5441462,1.787879,,3.61,1.043574,
,1.188672,,,1.622127,1.67723,
,2.798606,,,1.366707,1.199468,
,0.6335169,,,1.343587,0.7878293,
,0.4664866,,,1.154292,0.8329093,
,0.8675669,,,0.9330537,2.376707,
,1.466444,,,1.920874,2.576753,
,0.9329517,,,0.8993788,1.311224,
,3.131886,,,0.7218376,1.555103,
,1.466665,,,1.7666,3.076789,
,0.8339067,,,1.15575,1.676689,
,0.5326911,,,0.8556349,1.810435,
,1.399376,,,0.9000458,,
,2.243257,,,0.8435914,,
,2.276778,,,0.7333251,,
,0.9993323,,,1.52128,,
,3.466006,,,1.244029,,
,2.202401,,,2.34332,,
,0.5972258,,,,,
,2.765736,,,,,
,1.73262,,,,,
,0.5324374,,,,,
,0.7444988,,,,,
,2.999093,,,,,
,1.721886,,,,,
