Participant,T1,T2,T3,T4,T5,T6
user22,2.745407,1.952262,,1.098553,0.8872544,7.38545
,1.288553,5.429011,,1.311227,2.186521,8.152648
,0.2997932,2.676671,,0.934007,2.232794,1.154513
,6.312187,3.132174,,0.9536684,1.966029,1.078061
,2.565625,9.653616,,2.088627,1.943992,1.43294
,0.7007043,3.121658,,0.9448748,1.732921,1.133051
,1.333617,0.9327905,,0.8997048,1.633109,1.688835
,16.67228,7.953785,,1.010581,1.677651,5.765901
,,4.398989,,0.8108836,1.910774,1.321357
,,1.821173,,0.9821534,1.765465,1.777772
,,1.398699,,0.7467268,1.476713,2.066197
,,2.766291,,1.124995,1.100236,1.832576
,,,,2.377645,1.355104,2.010489
,,,,1.222595,1.811298,1.899563
,,,,1.732209,1.678182,2.190351
,,,,1.032449,3.354121,2.187182
,,,,0.9776359,3.142669,1.619342
,,,,0.8890217,1.676689,1.61113
,,,,1.032912,6.11057,1.721299
,,,,1.055362,5.110643,1.110731
,,,,0.9442831,,4.309916
,,,,0.9140349,,2.165845
,,,,0.6519763,,
,,,,1.243301,,
,,,,0.9568769,,
,,,,0.632347,,
,,,,1.24459,,
,,,,1.010684,,
,,,,0.8342766,,
