Participant,T1,T2,T3,T4,T5,T6
user19,1.103691,1.268245,1.432126,1.445318,1.129753,1.152814
,2.178036,1.16733,2.618706,7.655254,1.700713,1.731175
,0.7347763,3.319124,2.566671,7.076908,3.120337,1.456031
,3.824348,0.7336262,2.266325,13.66169,0.9424868,0.6235273
,2.999319,1.432681,1.899421,1.000617,1.565964,0.4992523
,1.932585,4.999161,2.300726,1.322202,1.911072,2.554871
,1.098886,1.543213,0.6770337,17.61647,1.022377,1.256195
,3.199615,0.8563998,2.71057,1.366422,0.5545821,1.489508
,2.66601,6.598069,1.767054,1.444799,0.9790365,0.82162
,2.411508,2.932773,1.789245,1.266541,0.7528367,1.910173
,1.734048,1.599253,1.832078,3.309774,1.721681,1.110812
,1.665684,1.833272,2.266932,1.765309,1.288783,2.332115
,1.166451,3.909841,4.543655,,1.488077,1.854076
,3.344236,6.709095,2.165146,,1.544025,4.487748
,1.966146,,1.598391,,1.721998,3.820978
,1.398539,,2.832222,,1.632432,1.410033
,0.8333762,,5.142741,,1.444687,1.533133
,1.198762,,2.932221,,2.587531,1.50012
,0.8673271,,2.788963,,4.122187,1.910102
,0.6429533,,2.898544,,1.233205,1.600324
,0.8208641,,2.975656,,1.321427,1.37756
,0.7773729,,,,2.277578,1.167172
,1.000002,,,,3.933154,2.676078
,0.8659772,,,,1.277298,1.499306
,0.756209,,,,1.620914,1.188886
,0.7767735,,,,1.79936,1.288613
,,,,,1.266587,1.388695
,,,,,1.321895,1.703222
,,,,,1.122334,1.587778
,,,,,0.9219105,2.233742
,,,,,0.5778779,0.9098102
,,,,,1.920617,4.471766
,,,,,1.254621,1.277992
,,,,,1.421287,
,,,,,1.69956,
,,,,,1.200108,
,,,,,0.9548767,
