Participant,T1,T2,T3,T4,T5,T6
user20,0.6580579,1.139958,4.017321,1.010778,1.264513,4.374353
,1.599918,1.863781,7.7217,2.132214,0.8889107,5.096907
,1.830617,1.265824,,2.146239,2.996023,1.37763
,1.435574,1.755845,,0.9121087,1.465548,1.188542
,0.5668625,4.543939,,2.580523,0.7788107,1.210508
,1.733359,0.7327897,,1.422399,1.409226,1.365533
,1.197981,4.709944,,1.633839,3.608346,1.310245
,1.33407,4.131326,,2.499295,2.099292,3.232323
,1.367232,6.368729,,2.333396,2.155902,1.144262
,1.132502,5.131178,,1.366292,2.621391,1.167157
,1.400814,2.644978,,2.065268,2.399805,0.9435147
,1.332707,2.132619,,2.233083,0.6888587,1.889738
,3.810313,2.165847,,1.511536,0.8215431,1.020805
,1.655109,10.50316,,1.511884,2.955337,1.011617
,8.542167,2.632864,,1.543537,1.433221,10.38743
,7.242209,2.000075,,1.409335,1.255969,1.387793
,1.465909,1.498538,,1.409979,1.444397,1.90998
,,1.431939,,1.377885,1.476706,2.210697
,,,,0.776841,1.310289,1.687831
,,,,3.576815,0.8779553,1.46685
,,,,1.133352,2.666748,0.8870105
,,,,0.7551926,0.6766638,0.8560722
,,,,1.688585,2.54376,3.165674
,,,,1.276047,2.48789,1.343447
,,,,1.49861,1.066875,1.300644
,,,,1.301021,0.6984791,1.932661
,,,,1.210989,4.131618,2.377062
,,,,1.787724,1.533659,1.776699
,,,,1.911569,1.576213,
,,,,1.533726,1.377062,
,,,,1.476218,1.588643,
,,,,1.444093,1.587871,
,,,,1.655696,1.299908,
,,,,,1.589857,
