Participant,T1,T2,T3,T4,T5,T6
user0,1.022549,1.474299,1.583405,0.8764318,0.8459715,2.663923
,1.900868,1.618464,1.676765,1.421824,1.431254,0.6121579
,1.20179,0.9995693,1.868634,1.21096,1.27512,3.931365
,2.167352,1.032363,17.5277,1.935874,1.19854,1.165655
,5.064673,0.711618,3.187059,1.269935,0.9211769,1.233122
,5.209658,1.167738,0.8670737,3.165661,1.133553,4.588207
,3.533258,0.8662125,,3.869737,0.9557134,3.010705
,3.765089,0.8594636,,1.077351,0.9337707,0.8643623
,0.9548153,1.621261,,1.16372,1.432365,0.721827
,1.19912,0.5290655,,0.9889396,0.733787,1.590652
,0.8664355,2.144022,,0.6654021,0.3993703,1.108861
,1.155347,1.977167,,1.232434,1.066573,1.268861
,2.53358,0.7256255,,1.222272,0.822557,0.9330389
,0.6994333,1.176993,,0.7005693,1.00977,1.188028
,0.798946,1.242856,,1.155277,1.189087,2.530301
,12.24228,1.188035,,0.6998405,0.899501,0.7549285
,,1.373599,,0.7206634,0.9221978,1.244686
,,1.344546,,0.6439657,0.9101526,1.477093
,,2.154212,,0.6444895,0.9323627,0.8228163
,,0.4341989,,0.2448906,0.1782166,1.400084
,,0.4293625,,0.7996013,0.8104772,0.8330948
,,3.389129,,0.6893606,1.600647,1.099
,,0.7994566,,0.9663265,0.6120456,1.221569
,,1.039783,,1.076545,0.8105659,1.287811
,,0.5690356,,0.833402,1.231912,2.266065
,,0.8069009,,0.7660096,0.1669676,0.6004104
,,1.129833,,0.6556602,1.2666,0.866426
,,1.058643,,1.000513,1.19078,2.388324
,,1.577909,,0.6997074,2.27704,1.510521
,,2.873053,,0.7438998,1.488158,1.48928
,,2.736662,,2.743493,1.919026,1.122878
,,1.241551,,0.6107224,0.6995754,1.887653
,,5.625053,,2.87629,0.699481,1.687262
,,0.9554462,,1.658473,0.7997132,1.010741
,,0.9071923,,0.6887279,0.7988269,1.03216
,,0.7997432,,0.7305305,0.1780197,0.5226869
,,0.9656119,,0.6446052,0.7340404,0.9789754
,,0.9327356,,1.18801,0.4876989,1.100188
,,1.843818,,1.222508,1.044586,0.6655189
,,0.7799838,,1.177868,0.8217767,0.8665431
,,0.5871203,,1.510541,0.844344,1.078074
,,1.620869,,1.732383,0.167243,
,,1.099877,,1.499342,1.044719,
,,,,0.7555845,1.265627,
,,,,0.6893172,0.6677727,
,,,,0.6210837,1.077198,
,,,,1.621092,1.044521,
,,,,1.188752,1.065874,
,,,,0.7114642,0.8551636,
,,,,0.6558438,1.210346,
,,,,0.8776962,1.244087,
,,,,,0.9108983,
,,,,,0.9106196,
,,,,,0.9324684,
,,,,,0.7893209,
,,,,,1.066843,
,,,,,0.9770908,
,,,,,1.376976,
,,,,,0.7890284,
,,,,,1.644189,
