Participant,T1,T2,T3,T4,T5,T6
user18,0.8549736,1.452887,8.720439,1.209615,1.034755,11.29556
,1.044496,2.848145,16.15498,1.754161,0.9336513,1.922032
,3.042663,1.846808,3.538519,0.8551416,2.477127,13.85032
,5.23163,0.7657017,12.72904,1.821382,0.4214829,1.810592
,5.765842,1.966805,5.542946,1.07787,1.612293,2.365672
,5.476243,3.264915,4.664763,1.232827,1.522544,1.254945
,1.25572,4.665908,,1.188666,1.133236,2.888368
,1.710287,12.49713,,0.9777606,3.077414,1.455607
,0.5659308,3.931979,,0.8321183,0.8000454,1.498995
,0.5999213,9.729641,,1.865802,2.03282,1.099574
,3.166039,6.076487,,1.910949,5.663883,1.576625
,14.22807,1.977662,,1.011062,1.099844,1.298899
,6.197729,2.132578,,1.065678,3.39782,1.022133
,0.6343448,,,2.244323,1.422012,1.222177
,0.5992797,,,2.18898,1.599636,3.19978
,5.588601,,,1.03287,1.121923,2.276777
,2.643271,,,2.821201,1.110716,1.721331
,,,,1.832471,3.853906,1.656121
,,,,1.333181,1.664977,1.65555
,,,,1.789226,1.578249,1.854398
,,,,1.465359,1.434318,1.821007
,,,,0.9661574,1.166271,
,,,,1.189452,1.232947,
,,,,1.311228,1.376799,
,,,,1.210269,1.199844,
,,,,0.8559716,1.166565,
,,,,1.832596,1.266506,
,,,,0.8547157,3.165299,
,,,,1.022168,1.988465,
,,,,1.166828,1.800146,
,,,,1.110052,,
,,,,1.121079,,
,,,,1.233304,,
,,,,1.089075,,
,,,,1.099409,,
,,,,1.732137,,
,,,,1.598739,,
,,,,0.9777178,,
,,,,1.055703,,
,,,,1.033912,,
,,,,0.9555584,,
,,,,0.9992831,,
,,,,0.9550009,,
,,,,1.010742,,
